Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
89	C3	P25A4	EC.ET	0.07531394	0.080358725	0.096495439	0.114069186	0.129121819	0.7	0.80
89	C4	P25A4	EC.ET	0.075495373	0.084728252	0.100084791	0.112610463	0.124547552	0.62	0.82
35	B4	P25A4	EC.ET	0.095677709	0.184096806	0.262675383	0.343062348	0.421054482	0.6	0.82
91	C1	P4B4	AC.AT	0.079715762	0.103396439	0.101120584	0.108120602	0.112861153	0.66	0.80
91	C2	P4B4	AC.AT	0.079367734	0.227529313	0.36191038	0.506249911	0.648420976	0.67	0.80
91	C3	P4B4	AC.AT	0.079755815	0.090890899	0.092784422	0.110516798	0.124004844	0.67	0.81
91	C4	P4B4	AC.AT	0.079929926	0.085242308	0.096472707	0.113049224	0.126232019	0.64	0.80
94	C1	P4B4	AC.ET	0.088746986	0.093638836	0.097514878	0.113863539	0.121902187	0.6	0.83
94	C2	P4B4	AC.ET	0.089077771	0.235374068	0.392193722	0.533699629	0.681394724	0.57	0.80
94	C3	P4B4	AC.ET	0.088678852	0.110701498	0.101628218	0.107349481	0.109227214	0.58	0.81
94	C4	P4B4	AC.ET	0.088456211	0.096347397	0.104687071	0.10480514	0.111653827	0.57	0.81
93	C1	P4B4	Control.AT	0.086435399	0.234703218	0.386055602	0.549887318	0.70445188	0.67	0.82
93	C2	P4B4	Control.AT	0.086396026	0.091413665	0.103753485	0.11045287	0.11720703	0.65	0.83
93	C3	P4B4	Control.AT	0.085044924	0.241601227	0.372665018	0.506003072	0.641894451	0.66	0.82
93	C4	P4B4	Control.AT	0.085766262	0.091314872	0.094466919	0.107394924	0.119647104	0.6	0.80
96	C1	P4B4	Control.ET	0.096616201	0.09765234	0.098278703	0.108748749	0.113092663	0.68	0.83
96	C2	P4B4	Control.ET	0.097789643	0.096397377	0.103084433	0.109254472	0.113760307	0.67	0.82
96	C3	P4B4	Control.ET	0.096295107	0.107287486	0.108741341	0.105368741	0.111054772	0.61	0.82
96	C4	P4B4	Control.ET	0.098088517	0.084181854	0.101288952	0.111802735	0.11638625	0.64	0.82
92	C1	P4B4	EC.AT	0.08245533	0.093705049	0.092349611	0.112199307	0.123460338	0.63	0.82
92	C2	P4B4	EC.AT	0.081196052	0.102919261	0.108584458	0.108777255	0.115630767	0.65	0.81
92	C3	P4B4	EC.AT	0.08160729	0.217128733	0.365977443	0.508304223	0.653085688	0.63	0.81
92	C4	P4B4	EC.AT	0.082594029	0.095273056	0.104333687	0.111978377	0.123399858	0.63	0.80
95	C1	P4B4	EC.ET	0.092299411	0.223692284	0.375032464	0.516968143	0.661294564	0.74	0.81
95	C2	P4B4	EC.ET	0.093612329	0.089312495	0.105880752	0.112496658	0.118869005	0.63	0.81
95	C3	P4B4	EC.ET	0.09378821	0.097117402	0.10367254	0.109119038	0.108504739	0.64	0.82
95	C4	P4B4	EC.ET	0.092852962	0.088647951	0.100711882	0.108469133	0.119332593	0.68	0.80
73	B1	P7A5	AC.AT	0.025007588	0.066734958	0.085168488	0.120866354	0.146847294	0.72	0.82
73	B2	P7A5	AC.AT	0.024916696	0.061436214	0.081844607	0.120547278	0.150733678	0.73	0.83
73	B3	P7A5	AC.AT	0.024937066	0.22793076	0.446414439	0.646680204	0.855984496	0.68	0.81
73	B4	P7A5	AC.AT	0.024978809	0.067060228	0.094651246	0.1172299	0.148970161	0.62	0.82
55	C3	P7A5	AC.AT	0.165249316	0.213300961	0.268439354	0.330587347	0.385466613	0.57	0.81
76	B1	P7A5	AC.ET	0.0333634	0.067591419	0.084353536	0.115391741	0.14572517	0.6	0.81
76	B2	P7A5	AC.ET	0.032848869	0.211715116	0.377175287	0.551842069	0.7245086	0.61	0.79
76	B3	P7A5	AC.ET	0.03256346	0.055519174	0.087834182	0.11758174	0.150824009	0.61	0.80
76	B4	P7A5	AC.ET	0.03357441	0.187772227	0.339675645	0.508809196	0.668239178	0.61	0.80
58	C3	P7A5	AC.ET	0.177069799	0.239894105	0.275440807	0.327887287	0.371462976	0.63	0.80
