Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
108	A4	P21A2	Control.ET	0.170143734	0.281637437	0.396337303	0.509966267	0.623649665	0.69	0.80
48	B3	P21A2	Control.ET	0.136056683	0.322403579	0.515208907	0.702379179	0.892255922	0.52	0.82
104	A1	P21A2	EC.AT	0.128286803	0.265927905	0.380036766	0.507954506	0.628869802	0.64	0.80
104	A2	P21A2	EC.AT	0.127997464	0.262896456	0.399381627	0.542463056	0.683322302	0.58	0.81
104	A3	P21A2	EC.AT	0.128068809	0.260736801	0.395243685	0.537994514	0.67512999	0.61	0.83
104	A4	P21A2	EC.AT	0.128050899	0.109214354	0.105073628	0.105958859	0.1	0.65	0.81
44	B3	P21A2	EC.AT	0.118564705	0.318227496	0.51362944	0.706787362	0.902856554	0.53	0.81
107	A1	P21A2	EC.ET	0.159862293	0.291159653	0.389797269	0.506798727	0.620117215	0.7	0.82
107	A2	P21A2	EC.ET	0.155510391	0.317249474	0.510277428	0.692979482	0.875207859	0.7	0.82
107	A3	P21A2	EC.ET	0.154786917	0.269667314	0.386115464	0.503416253	0.621353132	0.68	0.82
107	A4	P21A2	EC.ET	0.157491851	0.285439945	0.397246631	0.508793073	0.622263095	0.66	0.80
47	B3	P21A2	EC.ET	0.129594801	0.196064311	0.271561974	0.33404237	0.405413307	0.55	0.83
109	A1	P21B2	AC.AT	0.181944182	0.283976952	0.395727856	0.509755439	0.620499028	0.67	0.83
109	A2	P21B2	AC.AT	0.184407845	0.378903839	0.551471527	0.737755776	0.91793356	0.61	0.80
109	A3	P21B2	AC.AT	0.181576142	0.285285588	0.399676172	0.509243852	0.618795772	0.57	0.80
109	A4	P21B2	AC.AT	0.181676924	0.326548011	0.494851042	0.651345295	0.80843725	0.63	0.81
7	A2	P21B2	AC.AT	0.039870033	0.16749929	0.321382831	0.466211293	0.613351851	0.62	0.83
112	A1	P21B2	AC.ET	0.316382089	0.427913874	0.549246048	0.662731702	0.779664616	0.66	0.79
112	A2	P21B2	AC.ET	0.316858736	0.43686969	0.541941472	0.649956167	0.755133179	0.61	0.79
112	A3	P21B2	AC.ET	0.308163261	0.415111478	0.542853612	0.655914646	0.767875508	0.62	0.82
112	A4	P21B2	AC.ET	0.3143172	0.399396268	0.510439617	0.6147783	0.721291347	0.66	0.82
10	A2	P21B2	AC.ET	0.175312479	0.294689234	0.427536341	0.557954404	0.689773697	0.65	0.82
111	A1	P21B2	Control.AT	0.255248538	0.388580385	0.519572787	0.651988239	0.782572036	0.65	0.82
111	A2	P21B2	Control.AT	0.24970972	0.381993233	0.516371802	0.644531114	0.784146136	0.65	0.80
111	A3	P21B2	Control.AT	0.26199413	0.420841823	0.561694466	0.706398157	0.847230685	0.64	0.80
111	A4	P21B2	Control.AT	0.253363947	0.403811358	0.531432824	0.677717055	0.811345984	0.68	0.82
9	A2	P21B2	Control.AT	0.16747937	0.302537393	0.432568377	0.565845153	0.699452344	0.61	0.80
114	A1	P21B2	Control.ET	0.378960853	0.439443892	0.506578846	0.573564828	0.634745836	0.58	0.80
114	A2	P21B2	Control.ET	0.380839486	0.465656677	0.566079105	0.652432963	0.74535966	0.56	0.82
114	A3	P21B2	Control.ET	0.376789605	0.459876641	0.557138442	0.649136523	0.737723131	0.51	0.82
114	A4	P21B2	Control.ET	0.3921101	0.481841009	0.589885144	0.661041822	0.758471251	0.51	0.82
12	A2	P21B2	Control.ET	0.002142299	0.124762889	0.24324	0.357602414	0.470574556	0.63	0.81
110	A1	P21B2	EC.AT	0.214791758	0.359557727	0.510799643	0.643985371	0.790662006	0.62	0.80
110	A2	P21B2	EC.AT	0.21359834	0.295609088	0.412152275	0.5074536	0.60753472	0.54	0.83
110	A3	P21B2	EC.AT	0.19757667	0.288835534	0.398857422	0.513978231	0.622944826	0.62	0.80
110	A4	P21B2	EC.AT	0.203156888	0.374894719	0.529178129	0.686151566	0.846025118	0.63	0.79
8	A2	P21B2	EC.AT	0.058188061	0.187227678	0.324209543	0.468697686	0.606087076	0.69	0.79
113	A1	P21B2	EC.ET	0.348317243	0.448138135	0.558983994	0.652802346	0.747165289	0.67	0.82
113	A2	P21B2	EC.ET	0.348210348	0.450447314	0.545103408	0.647313318	0.752779656	0.63	0.79
113	A3	P21B2	EC.ET	0.339655784	0.451371242	0.546333988	0.649595334	0.756620654	0.57	0.81
113	A4	P21B2	EC.ET	0.337363191	0.436117022	0.543188811	0.647177786	0.754482622	0.58	0.80
11	A2	P21B2	EC.ET	0.189254073	0.45615095	0.707478632	0.961884203	1.22020875	0.67	0.80
109	B1	P22D5	AC.AT	0.184637012	0.292550546	0.406027161	0.512126558	0.619584036	0.53	0.80
109	B2	P22D5	AC.AT	0.186368515	0.34148626	0.494757586	0.651548679	0.80527387	0.54	0.83
109	B3	P22D5	AC.AT	0.186387584	0.30022751	0.399567335	0.51829526	0.628056615	0.55	0.83
109	B4	P22D5	AC.AT	0.18901104	0.297338266	0.401857942	0.509849289	0.617272429	0.54	0.80
1	A4	P22D5	AC.AT	0.033679181	0.055462947	0.094839722	0.115210753	0.144927678	0.67	0.82
112	B1	P22D5	AC.ET	0.319753218	0.412461174	0.532351307	0.648960092	0.758495021	0.6	0.80
112	B2	P22D5	AC.ET	0.326624736	0.426229619	0.534173019	0.648098764	0.758458831	0.58	0.80
112	B3	P22D5	AC.ET	0.323970333	0.439787822	0.542772457	0.648949869	0.75487845	0.55	0.79
112	B4	P22D5	AC.ET	0.32452013	0.442531858	0.54153975	0.64467355	0.753175914	0.59	0.82
4	A4	P22D5	AC.ET	0.009383326	0.166237475	0.313160447	0.471620294	0.622973131	0.59	0.80
111	B1	P22D5	Control.AT	0.291910388	0.422406702	0.549568694	0.671595886	0.803875178	0.7	0.80
111	B2	P22D5	Control.AT	0.288368521	0.356713242	0.402042936	0.462505685	0.51863622	0.64	0.83
111	B3	P22D5	Control.AT	0.278879269	0.406801334	0.528732024	0.644357132	0.766247204	0.65	0.83
111	B4	P22D5	Control.AT	0.285526097	0.411309726	0.544957651	0.661665841	0.788841	0.64	0.80
3	A4	P22D5	Control.AT	0.015733649	0.090499378	0.173572601	0.256493797	0.340274338	0.63	0.80
114	B1	P22D5	Control.ET	0.2061359	0.35203908	0.506731305	0.663608885	0.822580947	0.62	0.79
114	B2	P22D5	Control.ET	0.194100543	0.340003723	0.494791797	0.657579394	0.822057224	0.61	0.75
114	B3	P22D5	Control.ET	0.242395775	0.388298955	0.54442668	0.707691509	0.880134781	0.64	0.78
114	B4	P22D5	Control.ET	0.24117565	0.38707883	0.539876059	0.704016228	0.879425336	0.62	0.79
6	A4	P22D5	Control.ET	0.033688754	0.17092352	0.327203539	0.466658664	0.617301473	0.64	0.80
110	B1	P22D5	EC.AT	0.223448592	0.379152621	0.516698854	0.667309782	0.813513155	0.58	0.81
110	B2	P22D5	EC.AT	0.22317717	0.296597327	0.399670346	0.49225313	0.587254552	0.59	0.81
110	B3	P22D5	EC.AT	0.219269381	0.361595644	0.509488228	0.642813133	0.78625489	0.54	0.79
110	B4	P22D5	EC.AT	0.222614322	0.345915781	0.494347169	0.645378792	0.791597164	0.56	0.80
2	A4	P22D5	EC.AT	0.093794699	0.189482764	0.275370094	0.35445358	0.435800871	0.66	0.80
113	B1	P22D5	EC.ET	0.357193607	0.442726234	0.54641839	0.649964313	0.7499312	0.58	0.79
113	B2	P22D5	EC.ET	0.360161913	0.466858572	0.560963807	0.649883822	0.747114556	0.6	0.82
113	B3	P22D5	EC.ET	0.35254657	0.447477809	0.54413836	0.648890368	0.753262888	0.55	0.81
113	B4	P22D5	EC.ET	0.35687585	0.444690806	0.545691321	0.651814063	0.748949085	0.56	0.80
5	A4	P22D5	EC.ET	0.022548149	0.165419262	0.325981835	0.473113615	0.618765571	0.66	0.82
79	A1	P24A2	AC.AT	0.042434783	0.057870428	0.090512283	0.119818656	0.144487498	0.61	0.81
79	A2	P24A2	AC.AT	0.042940709	0.19241641	0.364165253	0.524998987	0.683758012	0.59	0.79
79	A3	P24A2	AC.AT	0.042300835	0.201987795	0.369545707	0.53090206	0.689706483	0.56	0.81
79	A4	P24A2	AC.AT	0.042141734	0.066094822	0.093196437	0.115744743	0.148394566	0.64	0.83
37	A2	P24A2	AC.AT	0.099651154	0.181860155	0.261548631	0.339093037	0.424891011	0.6	0.80
82	A1	P24A2	AC.ET	0.048574535	0.188354933	0.35141973	0.510751883	0.669404191	0.67	0.82
82	A2	P24A2	AC.ET	0.048722721	0.062153856	0.096629638	0.118419995	0.144620312	0.69	0.81
82	A3	P24A2	AC.ET	0.048644635	0.080248272	0.100421558	0.11268007	0.136382247	0.61	0.81
82	A4	P24A2	AC.ET	0.048776586	0.071806386	0.099993726	0.113968713	0.13343622	0.54	0.82
40	A2	P24A2	AC.ET	0.108291484	0.199222909	0.269847203	0.335771271	0.410652218	0.64	0.79
81	A1	P24A2	Control.AT	0.046876639	0.080928615	0.093120681	0.111788573	0.132473028	0.66	0.83
81	A2	P24A2	Control.AT	0.04660437	0.201980234	0.358462517	0.527561479	0.694759953	0.57	0.83
81	A3	P24A2	Control.AT	0.046539539	0.21036976	0.362728393	0.533344697	0.691752837	0.56	0.82
81	A4	P24A2	Control.AT	0.046704999	0.073964739	0.089986344	0.117694661	0.142245737	0.6	0.83
39	A2	P24A2	Control.AT	0.104293268	0.377323283	0.626604244	0.880139938	1.13390133	0.65	0.80
84	A1	P24A2	Control.ET	0.056264008	0.194018689	0.351951249	0.506269455	0.66258366	0.56	0.81
84	A2	P24A2	Control.ET	0.055819448	0.203279094	0.365313924	0.530765754	0.69613216	0.57	0.81
84	A3	P24A2	Control.ET	0.056004977	0.066542789	0.091872335	0.116053611	0.13871661	0.63	0.79
84	A4	P24A2	Control.ET	0.055922001	0.228620548	0.39840417	0.558188684	0.719070027	0.57	0.79
42	A2	P24A2	Control.ET	0.112504675	0.177905992	0.253761772	0.341737748	0.420177457	0.64	0.79
80	A1	P24A2	EC.AT	0.045129076	0.195743318	0.353781418	0.506123315	0.65955531	0.66	0.81
80	A2	P24A2	EC.AT	0.045490701	0.072345279	0.101509058	0.113568999	0.133706974	0.67	0.79
80	A3	P24A2	EC.AT	0.045480543	0.070036884	0.086291026	0.118531131	0.143548593	0.62	0.82
80	A4	P24A2	EC.AT	0.045501564	0.223297874	0.395779877	0.560366325	0.729961132	0.66	0.82
38	A2	P24A2	EC.AT	0.102516216	0.190255957	0.25829311	0.336333753	0.418226013	0.58	0.82
