Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0	
53	C2	P16B3	EC.ET	0.152362915	0.223977986	0.278835218	0.328679229	0.389611294	0.59	0.79	
54	C2	P16B3	Control.ET	0.15763624	0.220161262	0.267472047	0.329915089	0.393312214	0.66	0.82	
49	B3	P16B6	AC.AT	0.138689225	0.200922236	0.272862421	0.336042594	0.398902974	0.51	0.81	
50	B3	P16B6	EC.AT	0.141707043	0.212467908	0.264647323	0.335202872	0.393511866	0.51	0.81	
51	B3	P16B6	Control.AT	0.146980053	0.200420695	0.277634946	0.334399171	0.393543171	0.51	0.80	
52	B3	P16B6	AC.ET	0.14998775	0.213167597	0.27336572	0.336153653	0.397608278	0.61	0.82	
53	B3	P16B6	EC.ET	0.152384474	0.205977529	0.26657045	0.33370096	0.397311822	0.51	0.83	
54	B3	P16B6	Control.ET	0.158228568	0.213588924	0.274641141	0.33459638	0.392744188	0.62	0.80	
61	B2	P16C1	AC.AT	0.185178399	0.23169368	0.27927513	0.324835784	0.379018466	0.55	0.83	
62	B2	P16C1	EC.AT	0.1886041	0.358797323	0.529792562	0.711194132	0.887161335	0.67	0.81	
63	B2	P16C1	Control.AT	0.191232016	0.378366314	0.572036312	0.755635583	0.945103668	0.62	0.79	
64	B2	P16C1	AC.ET	0.19351946	0.239415655	0.274140949	0.328351907	0.375021838	0.59	0.82	
65	B2	P16C1	EC.ET	0.197676945	0.373976366	0.53715334	0.706919459	0.877386372	0.67	0.83	
66	B2	P16C1	Control.ET	0.000457588	0.037066931	0.084075928	0.123872247	0.162828589	0.65	0.80	
49	B4	P16C3	AC.AT	0.138787767	0.19650663	0.267887266	0.333703212	0.403388979	0.6	0.81	
50	B4	P16C3	EC.AT	0.14177956	0.338786096	0.51978594	0.705013334	0.89498376	0.5	0.83	
51	B4	P16C3	Control.AT	0.14704227	0.213379135	0.268206473	0.332447829	0.392331643	0.62	0.80	
52	B4	P16C3	AC.ET	0.149991318	0.34842031	0.541241509	0.734830641	0.924670075	0.64	0.82	
53	B4	P16C3	EC.ET	0.152583427	0.3906485	0.618372092	0.856768699	1.092203196	0.58	0.83	
